@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
65,27,0,60,75,0.444444,1,0.310345,1,0.689655,0.473684,0.537037,1.862069,0
66,27,0,59,76,0.437037,1,0.313953,1,0.686047,0.477876,0.530864,1.883721,0
67,27,0,58,77,0.42963,1,0.317647,1,0.682353,0.482143,0.524691,1.905882,0
68,27,0,57,78,0.422222,1,0.321429,1,0.678571,0.486486,0.518519,1.928571,0
69,27,0,56,79,0.414815,1,0.325301,1,0.674699,0.490909,0.512346,1.951807,0
70,27,0,55,80,0.407407,1,0.329268,1,0.670732,0.495413,0.506173,1.97561,0
71,27,0,54,81,0.4,1,0.333333,1,0.666667,0.5,0.5,2,0
72,27,0,53,82,0.392593,1,0.3375,1,0.6625,0.504673,0.493827,2.025,0
73,27,0,52,83,0.385185,1,0.341772,1,0.658228,0.509434,0.487654,2.050633,0
74,27,0,51,84,0.377778,1,0.346154,1,0.653846,0.514286,0.481481,2.076923,0
75,27,0,50,85,0.37037,1,0.350649,1,0.649351,0.519231,0.475309,2.103896,0
76,27,0,48,87,0.355556,1,0.36,1,0.64,0.529412,0.462963,2.16,0
77,27,0,47,88,0.348148,1,0.364865,1,0.635135,0.534653,0.45679,2.189189,0
78,27,0,46,89,0.340741,1,0.369863,1,0.630137,0.54,0.450617,2.219178,0
79,27,0,45,90,0.333333,1,0.375,1,0.625,0.545455,0.444444,2.25,0
80,27,0,44,91,0.325926,1,0.380282,1,0.619718,0.55102,0.438272,2.28169,0
81,27,0,43,92,0.318519,1,0.385714,1,0.614286,0.556701,0.432099,2.314286,0
82,27,0,42,93,0.311111,1,0.391304,1,0.608696,0.5625,0.425926,2.347826,0
83,27,0,41,94,0.303704,1,0.397059,1,0.602941,0.568421,0.419753,2.382353,0
84,27,0,40,95,0.296296,1,0.402985,1,0.597015,0.574468,0.41358,2.41791,0
